komentar,timestamp,sentiment
bahkan sampah pun di korup. ini negara apa sih coooo 😭😭😭,2025-04-17 06:56:58+00:00,negatif
wah klo presiden denger pasti di bebasin nih 🤣🤣,2025-04-17 07:51:45+00:00,negatif
tinggal mulyono blm d tangkap,2025-04-17 11:23:50+00:00,netral
"75,9 milyar buat makan 😂. makanan apa tu yg dikasi ke anak istrinya.",2025-04-17 04:44:37+00:00,negatif
"astagaa cuma 75M ga buatmu miskin
kasian loh istrinya nangis
pak hakim tolong bebasin ya, kan cuma 75M",2025-04-17 07:43:26+00:00,negatif
negara ini kayaknya perlu di reset ulang ga sih saking bobroknya 😳,2025-04-17 09:07:02+00:00,negatif
"75,9M anak istrinya makan apa?",2025-04-19 08:03:03+00:00,positif
"Lelaki menangis itu . tanda nya dia bener"" sakit hatinya .",2025-04-17 10:50:07+00:00,negatif
"Pantesan tukang pengangkut sampah perumahan pernah bilang gaji dia sebulan cuma 300rb, larinya ke kantong dia toh!",2025-04-17 07:44:11+00:00,negatif
air mata buaya🤣,2025-04-17 05:57:59+00:00,positif
pas dapat duitnya pasti ketawa² pas di tangkap baru nangis,2025-04-17 07:31:36+00:00,negatif
"gak kebayang kalau negara ini dikelola dengan baik, negara2 arab saja bisa sekaya itu hanya dengan minyak.. kita nikel, emas, tembaga, kopi, timah buanyak banget..",2025-04-19 00:39:22+00:00,negatif
"bebasin aja pak, jgn pisahin anak sama bapak nya, anak nya gak bersalah 😭😭😭",2025-04-17 08:51:32+00:00,negatif
"kabid doang gak mungkin sebanyak itu. pasti banyak yg dapat ini mah, gak mungkin atasan gak tahu",2025-04-17 08:02:04+00:00,netral
"75,9 M kasih makan anak istri makan apaaan Boss 🤣🤣",2025-04-18 05:15:08+00:00,positif
Soundnya buat pesona Indonesia keknya cocok 🤣,2025-04-17 06:58:14+00:00,positif
"Ini negera gimana sih? timah, pertamina, sampah dll semua di korupsi",2025-04-17 09:25:04+00:00,negatif
"kpingin setahun aj gtu negri ini bnr2 gk ad korupsi
masa hmpir 1-2 minggu psti ada aj berita klo ga korupsi ya kasus pulici",2025-04-17 10:07:33+00:00,negatif
ikhlaskan saja bos 75.9 tidak membuat negara miskin kok🥰,2025-04-17 13:44:00+00:00,negatif
75.9M di buat beli makanan apaan😅 pepes paus? rawon jerapah? atau burung onta goreng?😭,2025-04-17 09:00:24+00:00,negatif
negara ini kayak nya butuh kudeta biar bersi di pemerintahan.,2025-04-17 12:12:35+00:00,positif
Mana berani indonesia membuat UU perampasan aset dr korupsi 😏,2025-04-21 04:18:51+00:00,negatif
"tangisan yg gk bikin sedih sama sekali..
🤗🤗",2025-04-17 04:32:10+00:00,negatif
"Pak Prabowo tolong lah dia, benar benar kasihan pak anak istrinya sprt kata bapak, aku benar2 ikut merasakan suara tangisan lagi ngelayat pak…",2025-04-17 06:30:14+00:00,negatif
"kata pak wowo gpp, yg penting anak istri ngk menderita. jd harap dibebaskan dan jgn disita",2025-04-17 06:54:18+00:00,negatif
lebih kasian tangisan orang yang ditangkap karena memelihara landak jawa,2025-04-19 02:10:13+00:00,netral
"75,9 miliar tidak akan membuat anda miskin",2025-04-17 06:32:12+00:00,negatif
kaya dengerin nyanyian di opera😭,2025-04-24 13:28:29+00:00,positif
"""HeEeEeEeEeE"" 😹😹😹",2025-04-22 12:15:50+00:00,netral
damn,2025-04-21 12:57:02+00:00,negatif
"kamera 😭
no 😜[laughwithtears]",2025-04-21 12:30:22+00:00,negatif
hmmppp Denis denis😹,2025-04-24 13:23:31+00:00,positif
hah?,2025-04-22 13:04:06+00:00,negatif
Howwwowowowow🤣,2025-04-21 10:16:43+00:00,positif
pesona Indonesia harus liat ini 😆 GK lama pasti dipake ini sound nya 🤣,2025-04-17 12:44:35+00:00,netral
"makan apa sie sampe 75 miliar apa nyemilin emas tiap hari,lah kita 100rb buat seminggu sampe diputer2 tu duit",2025-04-17 12:02:10+00:00,negatif
enak banget ini kalo di jadiin sound hahah😭😂,2025-04-17 05:47:01+00:00,netral
tuh kn di negara kita mah sampah juga di korupsi 🤣,2025-04-20 04:44:27+00:00,negatif
Kalo yg ini bakal dijadiin sound gak ya sama Pesona Indonesia🗿,2025-04-17 07:50:28+00:00,netral
Ketahuan nangis nangis kalau nggak ketahuan ketawa ketawa 🤣,2025-04-17 08:29:27+00:00,negatif
alasan korupsi : tuntutan anak istri agar standar hidup tinggi,2025-04-18 01:04:40+00:00,negatif
"udah lah makin ga percaya sama pejabat negara,udah muak sy penegag hukum di negri ini😭",2025-04-17 10:10:50+00:00,negatif
Makan apa anak istrinya sampe 75.9 milyar? Tiap hari motong kambing? Tiap hari booking resto padang Pagi Sore? Atau makan siang di Singapore? Maaf Pak...tangisan bapak gak mempan.,2025-04-18 05:13:56+00:00,negatif
pas nerima duit bahagia ya pak... pas gini nangis2 😩😩😩😂,2025-04-19 13:56:32+00:00,negatif
maafkan saja. kasian anak dn kluarga y nanti mau mkn apa. ya ga pak wo?,2025-04-17 04:59:21+00:00,negatif
mksdnya korupsi sampah t kekmana?,2025-04-17 12:46:57+00:00,negatif
negara ini butuh sosok yg mau meng inisiasi seperti the punisher atau daredevil dan yang lainnya,2025-04-17 13:38:14+00:00,negatif
tangisannya menyayat hati ... 🤣🤣🤣🤣,2025-04-17 07:26:09+00:00,positif
"makan apa anak istri Luh Ampe 75,9M pak???makan Bantar gebang???😳😳😳",2025-04-17 13:17:08+00:00,negatif
ibunya nangis sadar ga si??? 75 M ny kemana??,2025-04-17 08:53:20+00:00,negatif
itu suara asli? asli nangissnya gt?? bapak itu nangisnnya gt?? seriusss??😳,2025-04-17 07:57:56+00:00,negatif
baru kali ini liat orang nangis tapi aku ngga ikut nangis😌,2025-04-17 11:16:41+00:00,netral
lah rx king nya mana kok ada nya suaranya aja,2025-04-17 06:19:28+00:00,negatif
"MAKAN APA ANJ YG SAMPE 75,9M",2025-04-19 07:24:17+00:00,netral
kalo di hutan serem ada suara kayak gini 🤑,2025-04-17 08:37:31+00:00,negatif
"makan apa sampek 75 m,",2025-04-17 06:47:54+00:00,netral
kayaknya salah pilih negara kita guys😭,2025-04-17 07:20:06+00:00,positif
anak istrinya makan apa sampe 75.9 M,2025-04-24 17:45:14+00:00,negatif
"bahkan urusan sampah pun bisa dikorupsi......
hdewww...",2025-04-17 22:13:54+00:00,negatif
Lepaskan saja pak. Itu masih kecil . nah yang 1000 Triliun aja gak ada kabarnya sampai sekarang 🗿,2025-04-17 07:39:07+00:00,negatif
Pantes tangsel yg bagus dr developernya jaya doang,2025-04-17 15:22:38+00:00,netral
"Tenang bu ,tidak akan dirampas kok assetnya . Kan sudah ada yg jamin he he
""kasihan keluarganya kl di sita""",2025-04-17 05:36:07+00:00,negatif
"Sudah menyusahkan dan menyengsarakan rakyat terus minta di bebaskan?? Anda siapa pig?? 😅😂🤣 ""SETUJU KAH JIKA YANG KASUS KORUPSI HARUS DIMISKINKAN 7 TURUNAN"" Silahkan Like dan Komentari sesuai dengan unek-unek kalian 😂😅🤣",2025-04-17 08:08:18+00:00,negatif
"dri camat lurah,,ke atas smua korupsi pejabat pemerintah",2025-04-17 09:46:21+00:00,negatif
Sampe ke SAMPAH di korup juga 😂😂😂,2025-04-19 01:21:04+00:00,negatif
"sengaja nangis, sengaja berkelakuan baik biar penjaranya 2 tahun duitnya masih sisa",2025-04-17 08:59:51+00:00,negatif
suara nangisnya kok sama persis kayak mainan kaktus anak saya,2025-04-17 10:58:30+00:00,negatif
🤪🤪🤪 kalau lagi nikmati uangnya lupa daratan tp jika tertangkap nangis kayak bocil,2025-04-17 11:35:37+00:00,negatif
"emang makan apa sampai M.M an🤣,masyarakat aja gaji umr aja di cukup² kan makan sebulan",2025-04-17 13:18:15+00:00,negatif
makan anak istri berapa kecamatan sih abis puluhan milyar gitu 😭,2025-04-17 17:00:51+00:00,positif
tombol refresh buat negara ada ga si coooo😭,2025-04-18 07:57:25+00:00,positif
yg nangis yg mana sih🤣🤣,2025-04-18 14:33:40+00:00,netral
😂😂😂klo ga ketauan pasti diam menikmati😂😂😂,2025-04-17 08:19:34+00:00,negatif
mantap nih di jadiin sondnya,2025-04-17 04:48:53+00:00,negatif
korup 75.9M minta di bebasin ...otaknya pake,2025-04-17 08:01:47+00:00,negatif
tag admin pesona Indonesia ✌️,2025-04-19 02:02:57+00:00,positif
"istri diksih 75,9 M masih kurang ? kok nangis",2025-04-18 06:18:55+00:00,negatif
judul lagunya apa ini...????,2025-04-17 08:05:59+00:00,negatif
negara apaan si iniii,2025-04-17 13:14:52+00:00,positif
jadikan nada dering seru kayaknya buat nakutin temen kalau malam Jumat,2025-04-17 10:43:29+00:00,negatif
kasian anak istrinya....😁😁😁😁😁😁😁😁,2025-04-17 08:56:54+00:00,positif
makan apa sampe milyaran gitu ???,2025-04-17 16:37:20+00:00,negatif
uangnya kan buat makan anak bini kan? tenang probowo denger dia gak bakal tega anak bini jadi korban. tennang pak ....kita adu in aja ke probowo yg berani penjarain bapak....,2025-04-17 07:06:47+00:00,negatif
"penasaran anak istrinyaa makan apaya smpe 75,9 mliarr ☺️☺️",2025-04-17 16:23:52+00:00,negatif
"kasian anak istrinya, ampuni sj
kata prabowo😂",2025-04-17 07:28:36+00:00,positif
"75 milyar buat makan anak istri, gua curiga makanan anak ama bini nya, jangan """,2025-04-17 07:03:13+00:00,negatif
dimaafkan aja kasian anak istrinya kalo sampe di sita ..,2025-04-17 05:35:23+00:00,negatif
"75,9M untuk makan anak istri,
anak istri nya se provinsi kali ya",2025-04-17 13:00:22+00:00,positif
Kasian anaknya 😭,2025-04-17 13:35:11+00:00,positif
"poya"" di medsos mkn"" Enk ,mobil mewa ternyata oh ternyata 75,9M Sounds nya pas bgt 😂😂😂",2025-04-17 13:25:24+00:00,negatif
"75,9 M di pake makan di mana coba kasih tau dan rinciin 😭",2025-04-17 09:41:47+00:00,negatif
"sing dipangan opo kui ngasi 75 ,9 M.kie...
restoran sak gedung2 e pow...",2025-04-17 06:29:39+00:00,negatif
"75,9 miliar buat makan anak istri atau buat GAYA HIDUP ? ibu bapak gua sampe gua nikah lagi ngabisin uang buat makan gak sampe mungkin 2M juga 😡",2025-04-18 04:42:07+00:00,negatif
"negri ini,sampah pun bisa di korupsi.
wadawww.",2025-04-17 23:49:01+00:00,negatif
aku dengar tangisnya antara mau ikut sedih apa mau ketawa ya 😭😭😭🤣🤣🤣,2025-04-18 14:26:17+00:00,negatif
jangan nangis pak..pasti kuat pak...cuma 3 tahun pak 💪,2025-04-17 10:25:13+00:00,netral
kirain lagi seriosa,2025-04-17 13:58:47+00:00,netral
"Tangsel harus diaudit sih di segala sektor, udah parah bnget emang
btw maen maen kesekitaran muncul Setu",2025-04-17 07:48:52+00:00,negatif
Pecah perut Klau makan sampai 75m,2025-04-17 15:54:42+00:00,negatif
masa klo cuma buat anak istri sampe 75M. gak kebanyakan tuh? 😅😂🤣,2025-04-17 11:28:54+00:00,netral
cocok ini masuk ke indosiar🗿,2025-04-17 11:03:07+00:00,positif
emang anak sama istrinya makan apa sampe miliaran korupsi nya,2025-04-18 01:20:09+00:00,negatif
"makanan apa 75,9 anj",2025-04-18 14:24:21+00:00,netral
gua kira lg nyanyi sinden laahh😌,2025-04-17 05:59:32+00:00,positif
anak istrinya makan apaan sampe bisa segitu banyak korupsinya.. sehari makan 10juta kah ampe rela bapaknya korup😂😂,2025-04-17 11:56:42+00:00,negatif
uang yg di sita di bawa kemana ya,2025-04-17 15:51:10+00:00,negatif
malam hari pakai sound ini pasti pada lari 🤣😂😂😂😅😅,2025-04-17 05:21:07+00:00,netral
prabowo : apakah adil anak & istrinya menderita?,2025-04-18 02:43:36+00:00,netral
gw kira istri nya lagi nyanyi seriosa 🗿🗿🗿,2025-04-17 07:45:34+00:00,positif
tebak hukuman 😹,2025-04-19 01:48:02+00:00,negatif
kok minta di bebaskan ??? kadang saya heran !! kok bisa segampang itu,2025-04-17 05:51:08+00:00,negatif
njirr tiap hari anak istrinya makan kaviar 🤣🤣,2025-04-17 16:37:29+00:00,positif
kira gw lagi nyanyi seriosa..😫😫,2025-04-17 09:57:36+00:00,positif
suara stater motor cuyy😹😹😹,2025-04-17 08:56:28+00:00,positif
"maafkan saja dia pak Secara kekeluargaan, lagian cuman 75 miliar gak membuat negara miskin😁😁",2025-04-17 07:27:25+00:00,negatif
Itu keluarganya makan berlian kali ya 75 milyar,2025-04-17 14:07:42+00:00,negatif
paling penjara 10 thun 🔥☺️,2025-04-17 12:17:55+00:00,negatif
ada yg lagi seriosa rupanya,2025-04-17 09:40:02+00:00,netral
75M bisa buat makan brpa puluh tahun?,2025-04-17 11:31:22+00:00,netral
"Yg pertamina itu sekarang kek mana?? ""Bertanya dengan nada lembut sekali""",2025-04-17 10:53:45+00:00,negatif
pengadilan: karena saya merasa kasihan saya kasih potongan vonis 😹,2025-04-22 09:45:59+00:00,negatif
ini sound asli kah😭😭😭,2025-04-18 15:43:27+00:00,positif
kata pak presiden bisa dimaafkan🤝😂,2025-04-17 06:33:27+00:00,positif
75m makan apa tuh anak istri lo??,2025-04-17 11:50:38+00:00,negatif
jgn nangis. paling ma 2 th... bisa jg 5 bulan bebas,2025-04-17 06:20:41+00:00,negatif
LEBIH KASIHAN NENEK YANG MENCURI KAYU,2025-04-22 12:02:37+00:00,negatif
emg anak bini lu makan emas berlian?,2025-04-23 11:04:09+00:00,negatif
negara ini kaya tapi dikelolah oleh org yg salah,2025-04-23 10:16:32+00:00,negatif
75.9 Miliar buat makan? itu berapa porsinya woi😹,2025-04-22 12:16:40+00:00,negatif
sampah aja di korup hah why bro is negara apa iniiiiiii😭 sehhhhhhhh OMG OMG lebih kasian nenek di tangkap maling kayu tujuh tahun itu lebih kasian 😭,2025-04-22 12:30:27+00:00,negatif
